num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S019717;14/06/2024;13:19:00;GTA. RUIZ JIMENEZ, 2;2;7;CHAMBERÍ;Colisión lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;NULL;NULL;440116;4475703;N;NULL
2024S019717;14/06/2024;13:19:00;GTA. RUIZ JIMENEZ, 2;2;7;CHAMBERÍ;Colisión lateral;Despejado;Turismo;Conductor;Más de 74 años;Hombre;NULL;NULL;440116;4475703;N;NULL
2024S019718;14/06/2024;12:20:00;CMNO. PERALES, 104;104;12;USERA;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;De 40 a 44 años;Hombre;2;Ingreso inferior o igual a 24 horas;441482;4469563;N;NULL
2024S019718;14/06/2024;12:20:00;CMNO. PERALES, 104;104;12;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;441482;4469563;N;NULL
2024S019719;14/06/2024;13:40:00;PASEO. REPUBLICA DE CUBA, 2;2;3;RETIRO;Caída;Despejado;VMU eléctrico;Conductor;De 25 a 29 años;Mujer;3;Ingreso superior a 24 horas;441962;4474060;N;NULL
2024S019720;14/06/2024;13:30:00;CALL. CONDESA DE VENADITO, 18;18;15;CIUDAD LINEAL;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444591;4477321;N;NULL
2024S019721;14/06/2024;13:34:00;CALL. GOMEZNARRO / CALL. GOMEZNARRO;150;16;HORTALEZA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 30 a 34 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;444984;4479086;N;NULL
2024S019721;14/06/2024;13:34:00;CALL. GOMEZNARRO / CALL. GOMEZNARRO;150;16;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;444984;4479086;N;NULL
2024S019722;14/06/2024;15:25:00;CALL. EMILIO RABOSO / AVDA. MONTE IGUELDO;2;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443129;4471543;N;NULL
2024S019722;14/06/2024;15:25:00;CALL. EMILIO RABOSO / AVDA. MONTE IGUELDO;2;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443129;4471543;N;NULL
