num_expediente,fecha_hora,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,num_participante
2024S020959,2024-06-29T11:30:00Z,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Alcance,Nublado,Turismo,Conductor,14,Sin asistencia sanitaria,40.36961052608068,-3.6460813062007573,0,0,"2"
2024S020959,2024-06-29T11:30:00Z,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Alcance,Nublado,Turismo,Pasajero,77,Se desconoce,40.36961052608068,-3.6460813062007573,0,0,"3"
2024S020960,2024-06-29T09:42:00Z,12,Usera,https://wikidata.org/entity/Q953368,Alcance,Se desconoce,Turismo,Conductor,77,Se desconoce,40.36148191507613,-3.6840916114522817,0,0,"1"
2024S020960,2024-06-29T09:42:00Z,12,Usera,https://wikidata.org/entity/Q953368,Alcance,Se desconoce,Turismo,Conductor,77,Se desconoce,40.36148191507613,-3.6840916114522817,0,0,"2"
2024S020961,2024-06-29T12:40:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.39266618914106,-3.657035714624544,0,0,"1"
2024S020961,2024-06-29T12:40:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.39266618914106,-3.657035714624544,0,0,"2"
2024S020962,2024-06-29T08:15:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.390428104083284,-3.6318585633329414,0,0,"1"
2024S020962,2024-06-29T08:15:00Z,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.390428104083284,-3.6318585633329414,0,0,"2"
2024S020964,2024-06-29T13:25:00Z,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Atropello a persona,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.500608215653536,-3.691675157376485,0,0,"1"
2024S020964,2024-06-29T13:25:00Z,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Atropello a persona,Despejado,Turismo,Peatón,1,Atención en urgencias sin posterior ingreso,40.500608215653536,-3.691675157376485,0,0,"2"
2024S020965,2024-06-29T12:45:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Alcance,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.44647492035645,-3.6974169105996357,0,0,"1"
