num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,distrito_urls,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S000034,2024-01-01T00:00:00Z,19:30:00,"CALL. ISAAC PERAL, 32",32,7,Chamberí,https://www.wikidata.org/wiki/Q1763370,Colisión fronto-lateral,NULL,Turismo,Conductor,Más de 74 años,Mujer,NULL,NULL,439124.541,4476636.545,N,"NULL"
2024S000035,2024-01-01T00:00:00Z,19:22:00,CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA,2,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,448374.924,4472779.044,S,"NULL"
2024S000035,2024-01-01T00:00:00Z,19:22:00,CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA,2,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,448374.924,4472779.044,N,"NULL"
2024S000035,2024-01-01T00:00:00Z,19:22:00,CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA,2,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,448374.924,4472779.044,N,"NULL"
2024S000035,2024-01-01T00:00:00Z,19:22:00,CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA,2,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,448374.924,4472779.044,N,"NULL"
2024S000035,2024-01-01T00:00:00Z,19:22:00,CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA,2,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,448374.924,4472779.044,N,"NULL"
2024S000035,2024-01-01T00:00:00Z,19:22:00,CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA,2,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,448374.924,4472779.044,N,"NULL"
2024S000037,2024-01-01T00:00:00Z,20:00:00,CALL. CANDIDO MATEOS / CALL. LA CABRERA,2,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 65 a 69 años,Hombre,14,Sin asistencia sanitaria,439122.081,4480402.894,N,"NULL"
2024S000037,2024-01-01T00:00:00Z,20:00:00,CALL. CANDIDO MATEOS / CALL. LA CABRERA,2,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 65 a 69 años,Mujer,14,Sin asistencia sanitaria,439122.081,4480402.894,N,"NULL"
2024S000037,2024-01-01T00:00:00Z,20:00:00,CALL. CANDIDO MATEOS / CALL. LA CABRERA,2,8,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Colisión fronto-lateral,Despejado,VMU eléctrico,Conductor,De 15 a 17 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439122.081,4480402.894,N,"NULL"
